Station_Name	Station Latitude	Station Longitude	Entrance_Type
Van Cortlandt Park-242nd St	40.889248	-73.898583	Stair
238th St	40.884667	-73.90087	Stair
231st St	40.878856	-73.904834	Stair
Marble Hill-225th St	40.874561	-73.909831	Stair
215th St	40.869444	-73.915279	Stair
207th St	40.864614	-73.918819	Stair
Dyckman St	40.860531	-73.925536	Stair
181st St	40.849505	-73.933596	Stair
168th St	40.840556	-73.940133	Stair
157th St	40.834041	-73.94489	Stair
145th St	40.826551	-73.95036	Stair
137th St-City College	40.822008	-73.953676	Stair
125th St	40.815581	-73.958372	Stair
116th St-Columbia University	40.807722	-73.96411	Stair
Cathedral Parkway-110th St	40.803967	-73.966847	Stair
103rd St	40.799446	-73.968379	Stair
96th St	40.793919	-73.972323	Stair
86th St	40.788644	-73.976218	Stair
79th St	40.783934	-73.979917	Stair
66th St-Lincoln Center	40.77344	-73.982209	Stair
59th St-Columbus Circle	40.768296	-73.981736	Stair
42nd St	40.757308	-73.989735	Stair
Times Square-42nd St	40.755983	-73.986229	Stair
34th St	40.750373	-73.991057	Stair
28th St	40.747215	-73.993365	Stair
23rd St	40.744081	-73.995657	Stair
18th St	40.74104	-73.997871	Stair
14th St	40.738228	-73.996209	Stair
Christopher St	40.733422	-74.002906	Stair
Houston St	40.728251	-74.005367	Stair
Canal St	40.722854	-74.006277	Stair
Franklin St	40.719318	-74.006886	Stair
Chambers St	40.715478	-74.009266	Stair
Rector St	40.707513	-74.013783	Stair
South Ferry	40.702068	-74.013664	Stair
