Station_Name,lon,lat,Disability
231st St,-73.904834,40.878856,d
Dyckman St,-73.925536,40.860531,d
96th St,-73.972323,40.793919,d
72nd St,-73.98197,40.778453,d
66th St-Lincoln Center,-73.982209,40.77344,d
59th St-Columbus Circle,-73.981736,40.768296,d
Times Square-42nd St,-73.986229,40.755983,d
34th St,-73.991057,40.750373,d
Chambers St,-74.009266,40.715478,d
South Ferry,-74.013664,40.702068,d
Atlantic Av,-73.97689,40.68446,d
Borough Hall,-73.989998,40.693219,d
Fulton St,-74.006571,40.709416,d
135th St,-73.94077,40.814229,d
Church Av,-73.949575,40.650843,d
Flatbush Av-Brooklyn College,-73.947642,40.632836,d
East 180th St,-73.873488,40.841894,d
Simpson St,-73.893064,40.824073,d
Utica Av,-73.932942,40.668897,d
